countryid,country
1,Argentina
2,Australia
3,Austria
4,Azerbaijan
5,Belgium
6,Brazil
7,Bulgaria
8,Canada
9,Cyprus
10,Czech Republic
11,Denmark
12,Egypt
13,Estonia
14,Finland
15,France
16,Germany
17,Greece
18,Hungary
19,India
20,Indonesia
21,Ireland
22,Israel
23,Italy
24,Japan
25,Jordan
26,Malaysia
27,Mexico
28,Netherlands
29,New Zealand
30,Norway
31,Oman
32,Peru
33,Philippines
34,Poland
35,Portugal
36,Qatar
37,Russia
38,Saudi Arabia
39,Singapore
40,South Africa
41,South Korea
42,Spain
43,Sudan
44,Sweden
45,Switzerland
46,Taiwan
47,Tajikistan
48,Thailand
49,Turkey
50,Ukraine
51,United Arab Emirates
52,United Kingdom
53,United States
54,Uruguay
55,Uzbekistan
56,Vietnam
